_bl_tenant,_bl_account,_bl_created_at,_bl_updated_at,_bl_synced_at,date,account_id,account_name,account_change_audit_stamps,account_currency,account_notified_on_campaign_optimization,account_notified_on_creative_approval,account_notified_on_creative_rejection,account_notified_on_end_of_campaign,account_notified_on_new_features_enabled,account_reference,account_serving_statuses,account_status,account_test,account_type,account_version,campaign_group_id,campaign_group_name,campaign_group_backfilled,campaign_group_change_audit_stamps,campaign_group_run_schedule,campaign_group_status,campaign_id,campaign_name,campaign_associated_entity,campaign_audience_expansion_enabled,campaign_change_audit_stamps,campaign_cost_type,campaign_creative_selection,campaign_format,campaign_locale,campaign_objective,campaign_objective_std,sales_funnel,campaign_offsite_delivery_enabled,campaign_offsite_preferences,campaign_optimization_target_type,campaign_pacing_strategy,campaign_run_schedule,campaign_serving_statuses,campaign_status,campaign_story_delivery_enabled,campaign_targeting_criteria,campaign_test,campaign_total_budget,campaign_type,campaign_unit_cost,campaign_version,creative_id,creative_content,creative_created_at,creative_created_by,creative_intended_status,creative_is_serving,creative_last_modified_at,creative_last_modified_by,creative_review,action_clicks,ad_unit_clicks,approximate_member_reach,card_clicks,card_impressions,clicks,comment_likes,comments,company_page_clicks,conversion_value_in_local_currency,cost,cost_in_usd,external_website_conversions,external_website_post_click_conversions,external_website_post_view_conversions,conversions,follows,full_screen_plays,impressions,landing_page_clicks,lead_generation_mail_contact_info_shares,lead_generation_mail_interested_clicks,likes,one_click_lead_form_opens,one_click_leads,opens,other_engagements,sends,shares,text_url_clicks,total_engagements,video_views,video_starts,video_views_p25,video_views_p50,video_views_p75,video_views_p100,viral_card_clicks,viral_card_impressions,viral_clicks,viral_comment_likes,viral_comments,viral_company_page_clicks,viral_external_website_conversions,viral_external_website_post_click_conversions,viral_external_website_post_view_conversions,viral_follows,viral_impressions,viral_landing_page_clicks,viral_likes,viral_one_click_lead_form_opens,viral_shares,viral_total_engagements,viral_video_completions,viral_video_starts,viral_video_views
sebrae,511624230,2026-04-17 17:05:02.000000 UTC,2026-04-17 17:05:02.000000 UTC,2026-04-17 17:05:02.000000 UTC,2025-03-11,511624230,Sebrae MG | Lápis Raro,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1696964883000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263795325""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""8""
  }
}",725905476,Campanhas Gerais 2025,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737563042000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1768933682334}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1767225599000"",
    ""start"": ""1737568322434""
  }
}",PAUSED,378345246,[697630.47] [11473] - CER - Campanha Institucional 2025- [tráfego],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1741722082759""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1768416930213""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""US"",
    ""language"": ""en""
  }
}",WEBSITE_VISIT,WEBSITE_TRAFFIC,Consideration,true,,MAX_CLICK,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1743464700000"",
    ""start"": ""1741722996838""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""5.56"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""8""
  }
}",643653996,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7305315197257162752""
  }
}",1741722869000,urn:li:person:HbU0_QRV_9,PAUSED,false,1741806390000,urn:li:person:HbU0_QRV_9,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,1823.0,0.0,0.0,10.0,0.0,0.0,1.0,,62.3270083351507,10.729467974884781,0.0,,,,0.0,0.0,2073.0,10.0,0.0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
sebrae,511997650,2026-01-27 17:13:41.000000 UTC,2026-01-27 17:13:41.000000 UTC,2026-04-18 00:03:03.000000 UTC,2026-01-21,511997650,Sebrae MG | Popcorn,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709127606000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263854370""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""6""
  }
}",725923206,Campanhas Gerais 2025,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737562564000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1768934882421}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1767225599000"",
    ""start"": ""1737568562530""
  }
}",PAUSED,480331586,[754868.55] [SB-0035-25A] [13114] - Turismo Carrossel - Inteligência Sebrae Impulsionamento Segmentado- [Conversão],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1764351233907""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1768417245585""
    }
  }
}",CPM,OPTIMIZED,CAROUSEL,"{
  ""campaign_locale"": {
    ""country"": ""US"",
    ""language"": ""en""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1764546300000"",
    ""start"": ""1764351354690""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""12.76"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""6""
  }
}",977549716,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7400225838828306432""
  }
}",1764351330783,urn:li:person:LAeBNRT_Vf,ACTIVE,false,1764351886300,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",,,,,,0.0,,,,0.0,,,1.0,1.0,0.0,2.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sebrae,511624230,2026-04-16 00:54:39.000000 UTC,2026-04-16 00:54:39.000000 UTC,2026-04-16 00:54:39.000000 UTC,2024-04-19,511624230,Sebrae MG | Lápis Raro,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1696964883000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263795325""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""8""
  }
}",686048926,Campanhas Gerais ,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1710360245000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737721635000}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1735689599000"",
    ""start"": ""1710423843789""
  }
}",PAUSED,301419196,[659924.39] [8639]- Capital Empreendedor-[Tráfego],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1713471304000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1737721643695""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_VISIT,WEBSITE_TRAFFIC,Consideration,true,,MAX_CLICK,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1715384700000"",
    ""start"": ""1713471661367""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""9.65"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""6""
  }
}",413807166,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7186820752539582464""
  }
}",1713471592000,urn:li:person:HbU0_QRV_9,ACTIVE,false,1713487657000,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,2254.0,0.0,0.0,52.0,0.0,0.0,0.0,,109.34414052241566,20.855539689960302,0.0,,,,0.0,0.0,4380.0,52.0,0.0,0,0,0,0,0,1,0,0,0,53,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
sebrae,511624230,2026-04-16 00:52:27.000000 UTC,2026-04-16 00:52:27.000000 UTC,2026-04-16 00:52:27.000000 UTC,2024-04-16,511624230,Sebrae MG | Lápis Raro,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1696964883000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263795325""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""8""
  }
}",686048926,Campanhas Gerais ,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1710360245000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737721635000}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1735689599000"",
    ""start"": ""1710423843789""
  }
}",PAUSED,301188436,[] [8496] Evento Estadual Prepara Gastronomia  [compra externa],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1713300515000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1737721643695""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1714952700000"",
    ""start"": ""1713300738615""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""9.78"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""7""
  }
}",410082406,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7186103746240643074""
  }
}",1713300644000,urn:li:person:HbU0_QRV_9,ACTIVE,false,1713301166000,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,2953.0,0.0,0.0,17.0,0.0,0.0,5.0,,170.56138922882647,32.358871131533483,0.0,,,,0.0,0.0,4127.0,17.0,0.0,0,5,0,0,0,21,0,1,0,49,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
sebrae,511997650,2026-04-16 01:07:38.000000 UTC,2026-04-16 01:07:38.000000 UTC,2026-04-16 01:07:38.000000 UTC,2024-03-01,511997650,Sebrae MG | Popcorn,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709127606000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263854370""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""6""
  }
}",685372776,[650878.07] [SB-0012-24C] [8572] - Reload - Campanha Always on [Compra Externa],false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1709127609000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1719791252353}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1719791999000"",
    ""start"": ""1709135764128""
  }
}",PAUSED,269998156,[650878.07] [SB-0012-24C] [8572] - Reload - Campanha Always on Belo Horizonte- Tráfego,urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709324124000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1719791263547""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1713483900000"",
    ""start"": ""1709324605176""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""43.4"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""9""
  }
}",383486066,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7169426991564226560""
  }
}",1709324596000,urn:li:person:HbU0_QRV_9,ACTIVE,false,1709325843000,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,2562.0,0.0,0.0,35.0,0.0,0.0,6.0,,126.22,25.483110115119647,0.0,,,,0.0,0.0,3782.0,35.0,0.0,0,8,0,0,0,17,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,3,0,0,0,0,0,0,0,0
sebrae,511997650,2026-04-17 21:30:11.000000 UTC,2026-04-17 21:30:11.000000 UTC,2026-04-17 21:30:11.000000 UTC,2025-10-01,511997650,Sebrae MG | Popcorn,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709127606000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263854370""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""6""
  }
}",725923206,Campanhas Gerais 2025,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737562564000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1768934882421}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1767225599000"",
    ""start"": ""1737568562530""
  }
}",PAUSED,451512186,[741215.96] [SB-0199-25- AP] [12374] - ConheCER 2025 - [Tráfego],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1758291980316""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1768417245585""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_VISIT,WEBSITE_TRAFFIC,Consideration,true,,MAX_CLICK,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1759362300000"",
    ""start"": ""1758294129838""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""12.95"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""6""
  }
}",891396106,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7378807836316717056""
  }
}",1759244881033,urn:li:person:HbU0_QRV_9,ACTIVE,false,1759247554699,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,1778.0,0.0,0.0,190.0,0.0,0.0,1.0,,213.83770431675606,40.180631153510916,0.0,,,,0.0,0.0,5894.0,190.0,0.0,0,0,0,0,0,0,0,0,0,191,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
sebrae,511997650,2026-04-16 01:11:09.000000 UTC,2026-04-16 01:11:09.000000 UTC,2026-04-16 01:11:09.000000 UTC,2024-03-06,511997650,Sebrae MG | Popcorn,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709127606000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263854370""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""6""
  }
}",685372776,[650878.07] [SB-0012-24C] [8572] - Reload - Campanha Always on [Compra Externa],false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1709127609000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1719791252353}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1719791999000"",
    ""start"": ""1709135764128""
  }
}",PAUSED,269998156,[650878.07] [SB-0012-24C] [8572] - Reload - Campanha Always on Belo Horizonte- Tráfego,urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709324124000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1719791263547""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1713483900000"",
    ""start"": ""1709324605176""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""43.4"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""9""
  }
}",383486066,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7169426991564226560""
  }
}",1709324596000,urn:li:person:HbU0_QRV_9,ACTIVE,false,1709325843000,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,1663.0,0.0,0.0,33.0,0.0,0.0,0.0,,73.55,14.835738247267262,0.0,,,,0.0,0.0,4332.0,33.0,0.0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
sebrae,511997650,2026-04-16 01:52:19.000000 UTC,2026-04-16 01:52:19.000000 UTC,2026-04-16 01:52:19.000000 UTC,2024-05-03,511997650,Sebrae MG | Popcorn,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709127606000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263854370""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""6""
  }
}",686085796,Campanha Gerais ,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1710358086000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1738260869000}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1735689599000"",
    ""start"": ""1710423843774""
  }
}",PAUSED,304450736,[652910.55] [SB-0064-24] [8459] - Divulgação Curso: Inteligência Financeira SPlay (N) [geração de lead],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1714507618000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1738260871992""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1722469500000"",
    ""start"": ""1714521600000""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""8.46"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""18""
  }
}",426693306,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7191166832664305664""
  }
}",1714507778000,urn:li:person:HbU0_QRV_9,ACTIVE,false,1714508836000,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,3073.0,0.0,0.0,44.0,0.0,0.0,5.0,,95.009999999999991,18.582533006077554,0.0,,,,0.0,0.0,5769.0,44.0,0.0,0,3,0,0,0,16,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,3,0,0,0,0,0,0,0,0
sebrae,511997650,2026-04-17 22:47:58.000000 UTC,2026-04-17 22:47:58.000000 UTC,2026-04-17 22:47:58.000000 UTC,2025-11-28,511997650,Sebrae MG | Popcorn,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1709127606000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263854370""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""6""
  }
}",725923206,Campanhas Gerais 2025,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737562564000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1768934882421}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1767225599000"",
    ""start"": ""1737568562530""
  }
}",PAUSED,477925286,[754868.55] [SB-0035-25A] [13114]  - Inteligência Sebrae Impulsionamento Segmentado- [Conversão],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1764165057717""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1768417245585""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""US"",
    ""language"": ""en""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1764546300000"",
    ""start"": ""1764350605156""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""12.85"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""13""
  }
}",978038496,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7400222712280997888""
  }
}",1764350584982,urn:li:person:LAeBNRT_Vf,ACTIVE,false,1764350614025,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,2867.0,0.0,0.0,644.0,0.0,0.0,0.0,,1689.5600000000029,316.4681584325113,0.0,,,,0.0,0.0,10204.0,644.0,0.0,0,0,0,0,0,0,0,0,0,644,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
sebrae,511624230,2026-04-16 00:53:50.000000 UTC,2026-04-16 00:53:50.000000 UTC,2026-04-16 00:53:50.000000 UTC,2024-04-18,511624230,Sebrae MG | Lápis Raro,"{
  ""account_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1696964883000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1712263795325""
    }
  }
}",BRL,false,false,false,false,false,urn:li:organization:944146,[RUNNABLE],ACTIVE,false,ENTERPRISE,"{
  ""account_version"": {
    ""versionTag"": ""8""
  }
}",686048926,Campanhas Gerais ,false,"{""created"": {""actor"": ""urn:li:unknown:0"", ""time"": 1710360245000}, ""lastModified"": {""actor"": ""urn:li:unknown:0"", ""time"": 1737721635000}}","{
  ""campaign_group_run_schedule"": {
    ""end"": ""1735689599000"",
    ""start"": ""1710423843789""
  }
}",PAUSED,301188436,[] [8496] Evento Estadual Prepara Gastronomia  [compra externa],urn:li:organization:944146,true,"{
  ""campaign_change_audit_stamps"": {
    ""created"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1713300515000""
    },
    ""lastModified"": {
      ""actor"": ""urn:li:unknown:0"",
      ""time"": ""1737721643695""
    }
  }
}",CPM,OPTIMIZED,STANDARD_UPDATE,"{
  ""campaign_locale"": {
    ""country"": ""BR"",
    ""language"": ""pt""
  }
}",WEBSITE_CONVERSION,CONVERSIONS,Conversion,true,,MAX_CONVERSION,,"{
  ""campaign_run_schedule"": {
    ""end"": ""1714952700000"",
    ""start"": ""1713300738615""
  }
}",,COMPLETED,,,,,SPONSORED_UPDATES,"{
  ""campaign_unit_cost"": {
    ""amount"": ""9.78"",
    ""currencyCode"": ""BRL""
  }
}","{
  ""campaign_version"": {
    ""versionTag"": ""7""
  }
}",410082406,"{
  ""creative_content"": {
    ""reference"": ""urn:li:share:7186103746240643074""
  }
}",1713300644000,urn:li:person:HbU0_QRV_9,ACTIVE,false,1713301166000,urn:li:person:9ZmltjFXk3,"{
  ""creative_review"": {
    ""rejectionReasons"": [],
    ""status"": ""APPROVED""
  }
}",0.0,0.0,1733.0,0.0,0.0,19.0,0.0,0.0,0.0,14.0,198.2733220660337,37.873980029681967,14.0,3.0,11.0,28.0,0.0,0.0,4381.0,19.0,0.0,0,1,0,0,0,3,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,3,0,0,0,0,0,0,0,0
